Rater1,Rater2,Rater3,Rater4,Rater5,Rater6,Rater7,Rater8,Rater9,Rater10,Rater11,Rater12,Rater13,Rater14,Rater15,Rater16
3,2,1,4,4,3,4,1,3,1,2,1,4,1,3,2
2,2,3,3,4,1,3,4,3,2,4,1,3,2,4,1
3,1,4,1,3,4,2,1,3,2,3,2,3,1,1,1
2,3,3,1,4,4,1,3,1,1,1,2,2,2,1,4
4,2,1,3,4,1,2,1,4,2,3,2,2,4,4,4
4,3,1,2,2,3,3,2,3,1,2,2,2,4,1,2
3,1,3,1,2,1,1,2,3,3,4,2,1,4,2,1
2,1,4,3,3,1,3,1,2,2,2,3,2,4,3,2
4,4,4,2,3,2,2,3,2,2,3,2,3,1,4,1
1,2,1,1,3,4,1,2,2,1,3,3,3,2,4,1
3,3,3,1,1,4,2,3,3,3,4,4,1,4,2,2
3,4,3,2,1,3,4,3,2,2,3,4,2,2,1,3
2,2,2,1,3,4,3,4,4,3,1,1,3,3,4,1
3,4,2,3,3,1,2,1,4,4,2,4,2,2,4,4
1,4,3,3,4,1,1,4,2,4,4,2,2,2,4,2
3,3,3,4,1,1,1,4,1,2,2,3,3,4,1,2
2,3,3,4,4,4,1,3,4,1,2,2,4,1,3,4
1,3,1,4,4,4,4,1,2,2,3,4,2,2,2,4
1,4,2,1,2,2,2,2,2,1,2,3,1,1,3,2
1,3,3,4,4,1,2,4,1,1,1,3,3,4,2,3
2,4,4,2,3,1,1,2,1,1,2,1,2,1,1,2
3,3,3,1,3,2,3,1,3,2,4,3,2,2,4,1
1,3,1,2,2,1,3,2,4,3,1,4,1,2,2,4
1,3,1,3,2,4,3,3,1,3,1,1,4,1,2,1
2,3,3,3,2,2,1,4,2,3,4,4,4,4,3,2
2,4,1,3,1,4,4,1,1,3,3,1,3,4,4,3
1,3,1,4,3,4,2,1,3,1,4,4,3,3,1,4
2,1,2,1,2,1,1,2,1,4,2,3,3,2,2,4
3,3,1,1,4,1,4,4,1,3,1,1,4,2,3,3
4,2,4,4,2,4,3,1,3,1,1,4,1,4,3,1
3,1,3,3,2,3,4,4,3,4,4,3,1,3,2,3
4,4,1,3,3,4,2,4,4,1,2,3,3,2,3,2
2,3,1,3,2,2,2,4,3,1,3,3,4,1,2,4
3,1,4,3,4,2,1,4,3,2,1,1,3,4,2,2
2,2,2,2,2,1,1,3,2,1,3,2,1,1,1,1
4,3,1,1,4,2,2,1,3,1,3,3,3,4,2,4
3,3,1,2,2,1,2,2,2,3,4,4,3,1,1,2
1,2,2,3,4,2,1,3,2,4,4,3,1,4,4,3
1,3,4,1,3,3,1,2,3,2,2,3,4,1,1,1
3,3,3,4,3,1,2,2,1,3,2,4,1,2,4,1
1,2,1,4,4,4,2,3,4,2,3,4,4,2,1,1
1,2,1,1,3,1,3,4,2,2,4,2,4,1,3,4
2,4,1,1,4,1,1,2,4,1,2,4,2,2,2,4
1,1,4,3,1,3,1,1,3,4,2,4,1,1,3,4
1,3,3,3,2,4,4,4,1,1,2,3,2,1,4,2
1,4,3,4,4,2,3,4,4,3,4,2,2,2,2,1
3,2,3,4,4,1,2,3,3,1,4,1,1,3,4,4
4,2,3,4,3,2,4,3,2,4,2,1,1,2,1,2
2,4,2,1,2,4,3,3,1,4,4,2,2,4,2,3
2,1,3,2,1,2,1,1,3,3,3,3,3,2,2,3
4,4,4,1,4,1,2,1,1,4,2,2,3,1,2,2
2,1,4,3,4,4,4,4,2,4,3,3,1,3,3,2
3,1,4,2,2,2,1,2,3,1,4,1,4,4,2,4
4,2,1,3,4,3,4,2,4,4,1,2,1,2,3,2
4,1,2,4,1,3,4,2,4,1,1,2,2,2,2,1
2,4,2,3,1,4,4,3,1,3,4,1,3,2,2,4
4,2,4,3,4,4,4,2,2,3,2,4,4,2,2,3
2,1,1,3,1,1,1,3,3,4,2,4,2,2,4,2
1,3,3,3,2,4,4,4,4,1,1,2,2,2,3,1
4,1,4,3,4,3,4,3,3,4,3,3,1,2,2,3
3,4,1,3,1,3,3,3,3,1,1,3,2,3,2,3
3,2,3,3,4,4,1,1,2,1,4,3,2,3,2,3
3,1,2,2,2,4,1,4,4,3,1,1,4,3,2,2
3,4,1,1,3,2,1,3,2,2,4,1,1,2,1,4
4,4,4,4,4,4,2,4,1,4,3,2,4,1,4,2
3,1,4,1,3,2,2,3,2,4,4,4,4,2,1,2
1,2,2,3,4,4,4,1,1,1,1,4,3,1,1,2
2,3,2,1,2,4,2,1,1,3,4,2,2,3,3,3
4,4,3,2,2,2,1,2,1,2,3,2,1,4,2,4
3,3,4,2,2,1,3,1,4,3,2,2,4,3,2,1
2,4,3,4,2,3,1,4,1,2,1,2,4,3,4,3
4,4,2,2,1,1,1,4,3,3,3,2,1,2,4,3
4,3,4,4,3,3,4,4,4,2,1,2,4,3,3,4
2,1,2,2,4,3,4,3,1,2,1,4,2,1,4,4
2,1,2,2,4,4,4,3,1,4,1,2,1,1,1,2
1,3,4,1,4,4,3,1,4,2,4,4,1,2,3,2
1,4,2,4,3,4,4,1,4,2,3,1,1,4,3,4
2,1,4,4,4,1,4,4,2,4,1,1,1,1,1,2
3,2,1,2,4,2,4,4,4,2,1,3,3,1,4,3
2,3,4,1,2,3,1,4,2,2,4,4,1,1,4,2
2,2,3,1,4,2,4,1,3,4,1,4,3,3,4,2
1,1,4,4,2,4,3,1,4,1,2,4,1,4,1,4
3,1,4,2,4,2,2,3,1,4,1,2,2,3,4,2
2,2,3,4,1,3,2,3,3,4,3,4,4,1,3,3
3,1,3,1,2,4,3,3,2,2,3,1,3,1,1,3
3,2,2,3,3,2,3,4,1,3,3,4,1,2,1,4
1,4,4,3,1,3,1,4,4,3,2,3,3,3,4,3
3,4,3,4,4,4,3,2,1,4,2,1,1,4,4,4
3,2,3,4,1,2,3,3,2,1,1,3,2,2,2,2
1,1,1,2,2,1,3,4,3,4,1,3,2,1,1,2
2,2,2,2,1,2,2,2,1,1,2,4,4,1,1,1
2,4,4,3,2,4,1,1,1,1,2,3,3,4,4,4
4,2,2,4,3,3,3,2,2,4,2,3,3,2,1,3
2,2,1,1,4,4,3,4,3,3,4,2,2,2,3,1
2,3,2,4,1,1,4,4,2,1,4,1,1,4,3,1
3,2,2,4,1,3,1,3,4,2,4,4,1,1,4,2
3,4,1,4,1,3,3,1,3,4,4,4,2,4,2,3
3,2,3,4,4,1,4,3,4,1,3,2,3,1,3,1
2,3,2,1,2,2,1,2,3,1,1,1,2,4,2,1
3,4,4,2,1,1,3,3,4,4,2,2,4,1,4,3
2,1,2,4,1,4,2,3,1,2,3,3,1,4,2,2
3,1,4,4,2,2,3,4,1,2,4,4,3,3,3,4
3,3,2,1,2,4,2,3,3,2,1,3,4,4,2,2
3,4,3,3,3,2,4,3,1,4,2,3,4,3,3,1
3,3,3,4,4,3,4,2,3,1,3,3,3,4,3,3
3,3,2,4,1,3,4,1,1,3,3,2,4,1,2,2
3,3,4,1,2,2,1,3,1,1,4,3,1,1,4,2
1,3,4,1,3,2,4,2,2,3,1,2,2,2,4,3
2,1,1,3,3,3,4,1,4,2,1,1,3,4,3,4
1,1,1,1,4,4,2,4,1,2,4,3,3,1,4,1
2,2,1,2,4,1,1,3,2,3,4,3,4,2,3,1
4,3,3,1,3,1,4,1,2,3,1,2,4,3,1,1
4,2,3,1,3,1,4,2,3,1,3,3,2,1,2,1
1,3,4,1,2,3,3,1,4,2,3,2,2,4,2,3
3,2,2,4,3,3,4,3,4,1,4,2,2,4,1,1
2,4,3,2,4,2,4,3,4,3,1,2,1,1,4,4
2,3,4,3,1,1,4,1,1,3,3,4,3,3,1,3
2,1,1,1,4,1,1,4,4,2,4,2,4,4,4,2
4,2,2,3,4,4,3,4,3,3,3,4,2,2,3,2
4,2,2,3,1,4,3,3,4,1,2,3,3,3,2,2
1,2,1,1,2,2,4,4,1,2,2,2,1,4,4,4
1,1,3,3,4,3,1,1,4,2,3,3,2,4,3,4
3,1,1,3,4,4,4,2,2,4,2,1,3,1,3,3
2,1,2,1,4,1,3,2,3,4,2,1,1,1,2,4
2,4,4,2,1,2,2,3,1,4,2,3,1,2,4,4
4,2,2,4,1,1,1,3,3,4,4,3,2,2,2,2
4,4,3,3,3,2,4,4,2,1,3,2,2,2,2,3
4,4,1,3,3,4,1,4,4,4,4,4,4,4,2,1
4,1,4,2,3,1,2,4,2,2,4,4,1,4,3,3
2,4,4,1,3,1,2,1,4,1,2,1,4,4,4,1
4,4,2,3,3,2,1,1,4,3,3,1,2,2,2,2
2,2,4,4,4,4,2,4,4,4,3,3,2,3,1,2
1,2,3,3,1,4,3,2,4,4,4,1,3,3,2,1
3,1,2,4,2,2,4,1,4,2,1,3,1,1,4,4
3,2,3,1,2,1,3,2,4,2,2,4,4,3,3,3
1,3,3,2,4,1,3,1,2,2,4,1,2,1,1,4
3,3,1,1,1,4,2,1,2,1,1,4,2,2,1,2
3,4,4,2,1,4,4,4,2,4,1,2,3,3,1,2
4,4,1,1,2,3,2,3,4,1,3,4,1,3,2,1
3,1,3,4,3,4,3,4,4,2,3,1,1,1,3,4
3,1,2,3,3,2,1,1,4,1,3,2,4,4,2,2
1,3,4,2,1,2,1,2,1,2,4,2,2,3,3,1
1,3,2,3,2,3,4,4,2,2,4,3,3,3,4,4
1,1,3,1,1,3,3,3,1,2,1,3,1,3,2,3
1,4,1,4,3,3,1,4,1,1,1,3,3,4,1,2
3,3,2,1,1,1,1,4,1,4,3,4,4,1,1,1
3,3,3,1,3,3,4,4,1,3,1,4,4,1,4,4
4,2,3,1,1,2,4,3,3,1,4,3,4,3,1,4
4,2,4,4,1,2,1,3,4,4,1,4,3,2,2,4
2,1,2,1,1,3,4,3,1,3,2,1,2,3,1,4
1,2,2,1,1,1,2,4,4,2,1,2,1,2,3,1
2,4,1,4,3,1,3,4,2,2,2,1,1,4,3,2
4,4,3,3,2,3,1,3,1,3,1,2,3,4,2,3
1,4,3,4,4,1,1,2,4,3,1,4,4,1,1,3
1,1,1,1,3,3,2,2,4,1,4,2,1,3,4,4
4,4,1,2,3,1,2,4,1,1,2,3,1,3,2,2
3,1,2,2,4,4,2,4,2,4,2,3,3,3,2,2
2,1,1,2,1,4,1,4,3,2,1,4,1,4,1,1
1,4,3,3,3,2,2,3,1,2,3,3,1,4,4,4
2,4,4,4,3,1,3,2,2,4,3,4,4,4,4,3
2,1,4,3,1,2,4,4,1,3,4,4,3,4,3,3
4,4,3,3,3,3,2,2,3,3,3,4,2,2,4,1
2,3,2,2,4,1,1,3,3,4,2,1,1,2,1,1
2,1,1,1,3,4,1,3,1,2,2,3,1,1,4,3
1,4,4,1,2,2,1,4,1,4,4,3,4,1,2,4
2,3,3,2,2,2,2,2,3,2,4,3,2,2,2,4
2,1,3,1,4,3,3,4,3,1,4,4,3,3,2,1
1,1,1,1,1,1,4,3,2,1,1,2,3,1,2,2
4,4,4,2,2,3,4,1,4,2,3,4,3,3,1,3
4,3,3,1,3,1,3,4,1,2,3,1,2,3,4,4
3,3,4,4,4,2,1,4,4,2,1,4,2,3,2,3
1,2,1,1,4,3,1,2,3,3,1,4,1,3,2,1
2,1,3,4,3,1,4,1,2,1,4,3,4,3,3,3
1,1,1,2,4,3,2,1,2,4,1,3,2,1,3,4
2,2,2,3,1,3,4,1,3,3,2,4,4,2,2,1
3,2,4,4,2,2,3,4,2,2,1,2,2,3,4,1
3,4,1,3,3,3,3,4,3,1,4,3,2,2,3,1
2,4,1,3,2,1,4,4,1,1,3,1,2,1,4,2
3,2,4,4,4,3,2,4,4,3,3,3,3,3,3,4
3,3,4,4,4,1,1,1,4,2,3,2,3,3,2,1
2,1,4,3,4,2,3,2,4,4,2,2,1,4,2,3
3,2,2,2,2,4,3,4,4,3,2,1,3,2,2,1
4,4,3,2,1,1,1,2,3,4,3,1,2,3,4,2
4,4,3,4,3,2,2,2,1,4,3,4,2,1,3,3
3,1,4,1,3,1,1,1,3,4,1,3,3,4,3,4
3,2,2,2,1,3,3,3,3,2,2,3,3,1,1,4
3,2,3,2,1,4,2,3,3,4,1,1,2,1,3,4
3,3,4,2,4,2,2,3,2,2,1,2,3,3,2,1
4,1,2,3,1,3,4,4,2,3,3,1,4,3,4,4
2,2,3,3,2,3,1,2,1,4,2,1,2,3,3,4
3,2,4,1,3,3,4,4,1,3,1,4,4,1,2,3
2,3,3,3,2,1,2,3,2,1,1,3,1,3,4,2
1,1,3,3,3,1,1,1,2,4,1,2,2,3,2,3
2,3,3,1,2,1,2,3,4,4,4,2,3,1,1,3
1,1,1,4,2,3,4,2,1,1,4,2,1,4,2,1
4,3,4,1,2,1,3,2,3,2,3,2,1,3,3,3
4,3,4,3,1,2,1,4,4,2,4,2,1,4,3,3
4,2,4,1,1,3,1,3,1,4,4,1,3,1,1,1
3,2,4,1,4,3,1,1,3,4,2,4,4,4,1,1
2,4,1,1,1,1,2,2,2,1,1,3,4,1,2,3
1,2,2,3,1,1,4,4,3,3,2,1,3,4,4,1
3,2,4,2,3,4,1,3,3,3,3,3,3,1,1,3
1,4,2,3,4,4,1,1,4,3,3,4,4,3,3,2
2,2,1,3,2,4,4,2,1,2,2,4,4,4,4,1
4,1,3,3,3,4,3,1,1,4,1,3,3,2,3,2
1,4,3,3,1,3,4,2,3,1,4,3,3,1,3,4
3,1,3,4,3,3,2,2,3,3,2,2,3,1,1,4
4,1,3,2,4,2,1,1,3,3,4,4,1,1,1,1
4,2,4,2,3,3,2,4,1,4,2,2,1,3,1,4
3,2,3,2,4,4,1,1,1,2,2,3,1,3,3,3
2,1,2,1,2,3,3,3,2,3,2,4,4,2,1,2
2,2,2,3,1,4,2,1,1,1,3,3,1,4,1,3
3,1,2,2,3,4,1,4,1,3,4,4,3,4,2,1
2,2,4,2,2,1,4,3,4,2,2,1,1,2,2,4
2,4,2,3,4,2,3,1,2,2,3,3,1,2,1,2
3,2,3,1,4,3,1,1,2,4,3,2,1,3,2,4
3,4,1,4,3,1,1,4,4,4,3,3,2,4,2,2
4,1,3,4,4,4,3,3,2,3,1,2,3,4,4,4
4,1,2,2,1,4,2,2,2,1,4,1,1,4,1,1
4,2,3,1,4,3,3,4,2,3,3,4,1,2,4,4
1,2,1,2,1,3,3,4,3,4,1,3,4,1,4,3
1,1,1,4,3,1,3,4,2,4,2,1,2,2,2,2
1,2,3,4,2,2,4,3,2,2,4,3,2,2,1,3
1,4,2,1,1,2,4,4,1,4,3,3,1,4,4,3
3,1,4,3,4,3,2,1,2,2,4,3,1,3,4,1
2,2,3,1,4,1,3,1,3,2,2,1,3,3,1,4
1,1,4,1,1,4,4,4,2,3,4,4,2,4,1,1
2,2,3,3,1,2,3,4,1,3,4,1,4,2,1,2
2,2,3,3,4,1,4,3,1,2,3,3,3,3,1,3
4,3,1,4,3,1,1,3,4,4,1,2,1,3,3,1
1,4,2,4,4,2,3,3,1,4,2,3,3,3,2,3
1,2,3,3,1,1,2,3,2,2,2,1,1,4,3,2
1,1,3,4,2,2,2,3,3,3,2,1,3,3,2,3
1,4,1,1,1,3,3,1,4,1,2,1,3,3,1,4
1,1,1,4,2,3,3,4,2,4,2,1,4,2,3,3
4,2,3,4,2,2,4,3,4,2,1,1,3,1,1,2
4,3,4,3,4,4,3,4,3,4,3,3,2,1,3,2
2,2,2,1,4,3,2,2,4,1,2,4,4,4,4,4
3,2,3,2,1,4,1,2,3,2,4,4,3,1,2,2
4,3,1,4,4,2,4,3,3,4,2,1,1,3,1,2
1,2,1,1,1,1,4,3,1,1,2,3,3,2,4,2
3,3,2,2,3,1,4,2,2,2,1,1,1,1,3,1
4,1,3,3,2,1,1,2,1,3,3,4,4,3,2,3
1,1,2,4,4,1,4,1,3,1,3,4,3,4,3,4
4,4,3,2,1,2,2,1,1,1,2,3,3,4,4,3
3,2,1,4,1,1,3,1,4,1,1,1,3,1,3,2
2,2,3,1,4,4,1,2,4,3,4,4,1,1,3,2
2,3,4,3,2,3,1,2,4,2,2,1,2,2,4,4
3,4,3,2,2,4,1,2,4,4,3,2,4,4,2,1
3,1,2,3,1,1,4,2,1,1,1,4,4,2,1,1
1,2,3,4,2,3,4,2,2,1,2,4,2,3,2,4
2,4,2,4,2,4,3,3,4,4,3,1,3,2,1,2
1,1,4,2,3,1,1,3,2,4,2,4,4,1,1,1
2,4,4,4,2,1,3,3,2,2,4,1,3,1,2,4
1,2,3,4,4,1,1,1,2,4,1,4,4,4,4,1
1,4,3,4,4,4,3,3,2,3,1,4,4,2,2,4
2,4,4,1,2,3,3,3,3,4,3,2,2,4,4,2
4,2,2,2,2,2,4,1,3,4,3,1,3,3,1,3
3,1,1,3,4,4,4,1,1,1,3,1,3,3,3,1
1,1,3,2,1,1,1,4,3,3,1,3,3,3,2,3
2,3,1,3,3,4,4,1,1,3,1,3,2,3,2,3
4,2,4,3,1,4,2,2,1,3,4,3,2,1,4,4
3,1,3,2,1,2,2,2,1,2,1,3,1,4,3,1
4,3,3,4,1,2,3,1,3,3,2,4,1,1,1,4
1,4,3,1,2,3,2,4,4,3,2,1,1,4,2,3
1,1,1,1,2,1,1,2,4,3,2,1,2,2,4,3
3,4,4,1,2,1,4,4,2,2,4,2,2,4,4,2
2,1,2,3,1,4,4,4,3,4,2,3,4,4,2,4
4,3,2,4,1,3,3,1,1,1,4,2,4,3,1,1
3,2,3,2,4,3,4,4,3,2,4,4,1,2,3,3
3,2,2,3,2,1,1,2,2,2,1,1,2,4,1,2
4,4,3,2,3,2,3,4,2,1,2,2,4,3,3,4
4,3,1,4,4,3,4,2,1,1,3,3,1,3,3,2
1,4,1,2,3,2,1,3,4,4,3,4,1,1,3,3
3,1,2,4,4,3,4,1,2,3,2,1,4,1,3,2
4,1,2,2,1,1,2,1,1,1,2,2,3,2,3,3
1,1,4,3,2,3,3,2,3,4,2,2,4,4,4,3
3,3,4,4,3,1,2,2,3,1,2,1,4,4,2,3
4,2,1,1,2,2,3,3,4,3,2,1,4,2,3,2
2,1,4,1,1,4,3,3,1,3,3,2,4,1,2,1
1,3,4,3,1,1,2,2,4,3,4,1,4,4,1,3
1,3,3,3,2,1,2,4,4,3,4,2,2,3,4,1
4,3,3,1,4,2,3,2,4,1,4,1,3,3,3,1
4,2,4,3,4,4,4,3,3,4,4,2,3,1,1,4
1,4,4,1,2,4,1,3,3,4,1,1,3,2,2,4
1,1,2,4,1,1,3,4,2,4,1,4,2,3,4,1
2,2,4,2,4,3,1,4,3,2,4,3,3,2,4,1
3,3,1,2,3,2,2,1,1,1,2,3,3,3,1,4
4,3,3,2,3,1,3,1,4,2,4,2,3,3,3,3
1,4,1,1,3,2,1,4,4,3,4,4,1,2,3,3
3,4,3,4,4,1,1,4,1,3,2,1,1,4,4,2
3,1,1,1,2,4,3,2,3,2,1,3,2,1,3,4
2,1,4,3,3,3,4,1,1,1,2,3,2,2,2,4
2,2,1,2,3,4,2,2,4,4,2,4,2,4,3,4
1,3,4,3,4,2,2,3,3,1,3,2,3,1,1,2
1,3,4,1,4,3,4,3,2,1,3,4,1,1,3,2
4,3,3,2,4,3,4,2,2,1,2,4,3,4,3,4
3,2,3,1,2,2,1,1,1,4,4,4,3,3,4,2
4,3,3,1,1,4,2,2,4,2,1,1,3,1,1,3
3,2,4,1,1,3,3,4,3,1,2,3,2,4,1,1
3,4,3,4,2,2,2,1,1,1,1,3,3,3,1,4
4,3,3,1,3,1,1,1,2,3,1,4,2,2,2,1
1,1,2,3,3,4,2,2,2,1,4,3,3,3,3,2
1,1,1,3,3,4,4,2,4,3,2,2,4,2,1,3
3,1,1,2,4,3,1,2,3,2,1,3,2,1,4,3
3,2,1,4,3,1,1,1,2,1,4,1,2,3,1,3
3,2,1,2,4,2,4,2,1,2,1,2,2,4,1,2
4,1,4,4,1,1,3,3,4,4,1,2,4,3,4,2
4,3,3,2,1,4,1,1,2,3,3,3,4,1,4,4
2,2,2,2,1,2,1,4,3,2,4,4,2,3,1,1
1,2,4,1,3,1,2,2,3,4,1,1,3,4,2,1
2,1,4,4,2,4,4,3,4,3,3,3,3,2,4,1
2,4,2,3,4,4,1,2,1,2,1,2,4,1,1,1
2,2,4,1,3,2,1,3,1,1,1,2,3,1,4,2
1,3,1,4,3,3,3,4,2,4,4,4,2,2,3,1
4,2,1,1,1,2,4,4,4,3,2,3,3,3,4,2
3,4,3,3,4,1,4,2,1,1,2,4,1,3,2,2
2,2,1,1,1,4,2,4,1,2,3,4,2,1,3,4
3,3,1,2,2,4,3,1,2,2,2,2,2,3,1,3
4,1,2,1,4,3,3,2,4,4,1,2,4,2,2,2
3,1,2,3,1,2,4,2,4,4,3,2,4,2,1,1
1,1,3,4,3,2,2,2,1,4,4,4,2,4,4,3
3,3,3,3,3,4,1,4,3,1,2,3,4,4,2,3
2,1,4,1,1,3,1,2,3,1,1,1,1,3,1,2
3,1,1,3,2,4,2,2,3,3,4,1,3,4,1,4
3,1,2,3,3,3,1,1,1,2,1,4,4,1,1,2
1,4,4,2,1,4,1,3,2,2,1,1,1,3,4,4
3,3,3,4,4,3,1,1,3,3,4,4,3,3,4,2
2,1,4,1,3,1,4,1,3,4,4,3,4,3,1,2
3,2,1,2,3,4,1,3,3,3,3,4,3,4,4,2
4,3,1,4,1,2,2,1,4,3,1,3,3,3,3,4
1,3,4,2,2,2,4,1,2,2,1,4,2,4,2,2
4,1,3,3,3,3,2,2,3,1,2,1,4,2,2,2
1,3,2,2,2,4,3,4,4,3,2,4,2,2,3,4
4,3,1,3,3,2,3,3,4,3,1,2,3,2,3,2
